date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2011-08-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,8.58,0.546
2011-08-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.9,0.1206
2011-08-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,1.95,0.1238
2011-08-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.19,0.1392
2011-09-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.4,0.28
2011-09-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,3.3,0.21
2011-09-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,5.5,0.3499
2011-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.6,0.2927
2011-09-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,57.2,3.6394
2011-09-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,12.1,0.7699
2011-09-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.1,0.3881
2011-09-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.2,0.7762
2011-09-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,40.9,2.6023
2011-09-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.5,0.7317
2011-09-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.4,0.5345
2011-09-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.9,0.6299
2011-09-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,9.4,0.5981
2011-09-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.4,0.1527
2011-09-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.3,0.1463
2011-09-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.0,0.1909
2011-10-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.6,0.2927
2011-10-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,3.4,0.2163
2011-10-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,5.0,0.3181
2011-10-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.4,0.28
2011-10-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,59.2,3.7667
2011-10-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,14.0,0.8908
2011-10-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.2,0.3945
2011-10-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.3,0.7826
2011-10-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,41.2,2.6214
2011-10-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.6,0.7381
2011-10-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.1,0.5154
2011-10-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.0,0.6363
2011-10-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,9.0,0.5726
2011-10-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.8,0.1782
2011-10-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,3.0,0.1909
2011-10-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.0,0.1909
2011-11-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.8,0.3054
2011-11-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,3.2,0.2036
2011-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.7,0.299
2011-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.4,0.28
2011-11-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,59.9,3.8112
2011-11-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,14.0,0.8908
2011-11-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.3,0.4008
2011-11-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.3,0.7826
2011-11-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,41.6,2.6469
2011-11-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.7,0.7444
